name,gender,hair,age,ethnicity,status,series lifespan,start_episode,end_episode,series_age,season_birth,episode_name
Rick Grimes,male,dark brown (greying),40,white,alive,"""days gone bye"" to present",days gone bye,present,83.0,1.0,days gone bye
Carl Grimes,male,brown,10,white,alive,"""days gone bye"" to present",days gone bye,present,83.0,1.0,days gone bye
Judith Grimes,female,honey blonde,0,white,alive,"""killer within"" to present",killer within,present,61.0,3.0,killer within
Lori Grimes,female,brown,30,white,dead,"""days gone bye"" to ""killer within""",days gone bye,killer within,23.0,1.0,days gone bye
Shane Walsh,male,black,30,white,dead,"""days gone bye"" to ""better angels""",days gone bye,better angels,18.0,1.0,days gone bye
Morgan Jones,male,black,40,black,alive,"""days gone bye"" to present",days gone bye,present,83.0,1.0,days gone bye
Duane Jones,male,black,10,black,undead,"""days gone bye""",days gone bye,days gone bye,1.0,1.0,days gone bye
Glenn Rhee,male,black,20,asian,alive,"""days gone bye"" to present",days gone bye,present,83.0,1.0,days gone bye
Theodore Douglas,male,black,30,black,dead,"""guts"" to ""killer within""",guts,killer within,22.0,1.0,guts
Dale Horvath,male,white/gray,60,white,dead,"""days gone bye"" to ""judge, jury, executioner""",days gone bye,"judge, jury, executioner",17.0,1.0,days gone bye
Jacqui,female,black,40,black,dead,"""guts"" to ""ts-19""",guts,ts-19,5.0,1.0,guts
Jim,male,dark brown,40,white,undead,"""guts"" to ""wildfire""",guts,wildfire,4.0,1.0,guts
Carol Peletier,female,gray,40,white,alive,"""tell it to the frogs"" to present",tell it to the frogs,present,81.0,1.0,tell it to the frogs
Sophia Peletier,female,strawberry blonde,10,white,dead,"""tell it to the frogs"" to ""what lies ahead""",tell it to the frogs,what lies ahead,5.0,1.0,tell it to the frogs
Ed Peletier,male,gray,40,white,dead,"""tell it to the frogs"" to ""vatos""",tell it to the frogs,vatos,2.0,1.0,tell it to the frogs
Daryl Dixon,male,brown,40,white,alive,"""tell it to the frogs"" to present",tell it to the frogs,present,81.0,1.0,tell it to the frogs
Merle Dixon,male,brown  (greying),50,white,dead,"""guts"" to ""this sorrowful life""",guts,this sorrowful life,33.0,1.0,guts
Andrea,female,blonde,30,white,dead,"""guts"" to ""welcome to the tombs""",guts,welcome to the tombs,34.0,1.0,guts
Amy,female,blonde,20,white,dead,"""days gone bye"" to ""vatos""",days gone bye,vatos,4.0,1.0,days gone bye
Edwin Jenner,male,blond,40,white,dead,"""wildfire"" to ""ts-19""",wildfire,ts-19,2.0,1.0,wildfire
Maggie Greene,female,dark brown,20,white,alive,"""bloodletting"" to present",bloodletting,present,76.0,2.0,bloodletting
Beth Greene,female,blonde,10,white,dead,"""bloodletting"" to ""coda""",bloodletting,coda,52.0,2.0,bloodletting
Hershel Greene,male,white,70,white,dead,"""bloodletting"" to ""too far gone""",bloodletting,too far gone,36.0,2.0,bloodletting
Patricia,female,dirty blonde,40,white,dead,"""bloodletting"" to ""beside the dying fire""",bloodletting,beside the dying fire,12.0,2.0,bloodletting
Jimmy,male,brown,20,white,dead,"""bloodletting"" to ""beside the dying fire""",bloodletting,beside the dying fire,12.0,2.0,bloodletting
Randall Culver,male,brown,20,white,dead,"""triggerfinger"" to ""better angels""",triggerfinger,better angels,4.0,2.0,triggerfinger
Tony,male,gray,30,white,dead,"""nebraska"" to ""nebraska""",nebraska,nebraska,1.0,2.0,nebraska
Michonne,female,brown,30,black,alive,"""beside the dying fire"" to present",beside the dying fire,present,65.0,2.0,beside the dying fire
Axel,male,blond,40,white,dead,"""seed"" to ""home""",seed,home,10.0,3.0,seed
Oscar,male,black,30,black,dead,"""seed"" to ""made to suffer""",seed,made to suffer,8.0,3.0,seed
Andrew,male,black/brown,20,black,dead,"""seed"" to ""killer within""",seed,killer within,4.0,3.0,seed
Tomas,male,black,30,hispanic,dead,"""seed"" to ""sick""",seed,sick,2.0,3.0,seed
Big Tiny,male,black,30,black,dead,"""seed"" to ""sick""",seed,sick,2.0,3.0,seed
Caesar Martinez,male,black,30,hispanic,dead,"""walk with me"" to ""dead weight""",walk with me,dead weight,21.0,3.0,walk with me
Shumpert,male,black,30,black,dead,"""walk with me"" to ""welcome to the tombs""",walk with me,welcome to the tombs,14.0,3.0,walk with me
Mr. Jacobson,male,white,50,black,dead,"""killer within"" to ""internment""",killer within,internment,18.0,3.0,killer within
Karen,female,dark brown,30,white,dead,"""the suicide king"" to ""infected""",the suicide king,infected,10.0,3.0,the suicide king
Thomas,male,brown,20,white,dead,"""30 days without an accident"" to ""infected""",30 days without an accident,infected,2.0,4.0,30 days without an accident
Ms. McLeod,female,dark brown,80,hispanic,dead,"""made to suffer"" to ""welcome to the tombs""",made to suffer,welcome to the tombs,9.0,3.0,made to suffer
Milton Mamet,male,dark blond,30,white,dead,"""walk with me"" to ""welcome to the tombs""",walk with me,welcome to the tombs,14.0,3.0,walk with me
Dr. Stevens,female,black,40,black,dead,"""walk with me"" to ""made to suffer",walk with me,made to suffer,6.0,3.0,walk with me
Gloria,female,brown,20,white,dead,"""walk with me"" to ""the suicide king""",walk with me,the suicide king,7.0,3.0,walk with me
Eric,male,brown,40,white,dead,"""walk with me"" to ""welcome to the tombs""",walk with me,welcome to the tombs,14.0,3.0,walk with me
Paul,male,black,40,black,dead,"""the suicide king"" to ""welcome to the tombs""",the suicide king,welcome to the tombs,8.0,3.0,the suicide king
Haley,female,brown,20,white,dead,"""hounded"" to ""the suicide king""",hounded,the suicide king,4.0,3.0,hounded
Crowley,male,dark brown,30,white,dead,"""walk with me"" to ""hounded""",walk with me,hounded,4.0,3.0,walk with me
Philip Blake,male,graying brown,40,white,dead,"""walk with me"" to ""too far gone""",walk with me,too far gone,22.0,3.0,walk with me
Richard Foster,male,gray,50,white,dead,"""walk with me"" to ""the suicide king""",walk with me,the suicide king,7.0,3.0,walk with me
Mrs. Foster,female,brown,30,white,dead,"""walk with me"" to ""say the word""",walk with me,say the word,3.0,3.0,walk with me
Sasha Williams,female,black,30,black,alive,"""made to suffer"" to present",made to suffer,present,57.0,3.0,made to suffer
Tyreese Williams,male,black,30,black,dead,"""made to suffer"" to ""what happened and what's going on""",made to suffer,what happened and what's going on,34.0,3.0,made to suffer
Allen,male,brown,40,white,dead,"""made to suffer"" to ""welcome to the tombs""",made to suffer,welcome to the tombs,9.0,3.0,made to suffer
Ben,male,black,20,white,dead,"""made to suffer"" to ""this sorrowful life""",made to suffer,this sorrowful life,8.0,3.0,made to suffer
Bob Stookey,male,black,30,black,dead,"""30 days without an accident"" to ""four walls and a roof""",30 days without an accident,four walls and a roof,19.0,4.0,30 days without an accident
Molly,female,brown,10,white,dead,"""30 days without an accident"" to ""too far gone""",30 days without an accident,too far gone,8.0,4.0,30 days without an accident
